cafeName	orderByNew	concept	nofConKatsu	WantToGo	OperatingHours	Fee	NearestStation	Area	concept_list
Colorful Lovepotion-カラフルラブポーション-	117	魔法	0.0	1.0	月 15:00 - 23:00 火 15:00 - 23:00 水 15:00 - 23:00	3,000円～	秋葉原駅　徒歩5分末広町駅　徒歩2分	Kanto	['魔法']
B4BYCR4SH-ベイビークラッシュ-	118	ギャル×サイバー	0.0	0.0	月 15:00 - 23:00 火 15:00 - 23:00 水 15:00 - 23:00	3,000円～	西武新宿駅　徒歩5分東新宿駅　徒歩5分	Kanto	['ギャル', 'サイバー']
ぷりゅむ	119	メイド×悪魔×天使	0.0	0	月 20:00 - LAST 火 20:00 - LAST 水 お休み	3,000円～	旭川駅　徒歩10分	Hokkaido and Tohoku	['メイド', '悪魔', '天使']
TinkTink（ティンクティンク）	120	妖精	0.0	1.0	月 17:00 - LAST 火 17:00 - LAST 水 17:00 - LAST	4,000円～	秋葉原駅 電気街北口より徒歩3分	Kanto	['妖精']
Antinomy-アンチノミー-	121	悪魔×天使	0.0	0.0	月 18:00 - 23:00 火 18:00 - 23:00 水 18:00 - 23:00	3,000円～	西武新宿駅　徒歩2分新宿駅　徒歩5分	Kanto	['悪魔', '天使']
Lalice -ラリス-	122	アリス	0.0	1.0	月 18:00 - 23:00 火 18:00 - 23:00 水 18:00 - 23:00	3,000円～	東新宿駅　徒歩2分	Kanto	['アリス']
モーヴ -mauve-	123	お屋敷	4.0	3.0	月 18:00 - LAST 火 18:00 - LAST 水 18:00 - LAST	3,000円～	西武新宿駅　徒歩5分東新宿駅　徒歩5分	Kanto	['お屋敷']
#推ししか勝たん	124	アイドル×かわいい×闇	0.0	0.0	月 18:00 - 24:30 火 18:00 - 24:30 水 18:00 - 24:30	3,000円～	西武新宿駅　徒歩3分新宿三丁目駅　徒歩3分	Kanto	['アイドル', 'かわいい', '闇']
パルファン大阪店	125	香水	0.0	0	月 17:00 - 23:00 火 17:00 - 23:00 水 17:00 - 23:00	約4000円	地下鉄御堂筋線　 　　なんば駅・・・ 徒歩約10分 近鉄難波線　 　　難波駅・・・徒歩約15分 南海電鉄　 　　難波駅・・・徒歩約10分 大阪市営地下鉄堺筋線 　　日本橋駅・・・徒歩約10分	Kansai	['香水']
Follebit（フォルビット）	126	うさぎ×お化け屋敷×ゴシック×ゴスロリ×悪魔×闇×異世界×ナイトメア	0.0	1.0	月 18:00 - 24:00 火 18:00 - 24:00 水 18:00 - 24:00		⚜️新宿三丁目駅から徒歩4分⚜️新宿駅から徒歩6分⚜️西武新宿駅から徒歩6分⚜️新宿西口駅から徒歩9分⚜️東新宿駅から徒歩9分	Kanto	['うさぎ', 'お化け屋敷', 'ゴシック', 'ゴスロリ', '悪魔', '闇', '異世界', 'ナイトメア']
